ResinType,ResinPercentage,ResinSupplier,PigmentType,PigmentPercentage,PigmentSupplier,SolventType,SolventPercentage,SolventSupplier,Gloss,Viscosity,HidingPower,IsSuccess,Dispersant_Percentage,Dispersant_Supplier,Thickener_Percentage,Thickener_Supplier,Defoamer_Percentage,Defoamer_Supplier,TotalSolidsContent,SimulatedPVC,SolventToResinRatio,Resin_Pigment_Combo,Resin_Solvent_Combo,Pigment_Solvent_Combo
Acrylic,46.67,SupplierA_Resin,Titanium Dioxide,26.63,SupplierG_Pigment,Water,22.74,SupplierM_Solvent,28.03,1187.81,59.33,0,0.0,None,0.0,None,3.96,SupplierW_Add,77.26,0.3447,0.49,Acrylic_Titanium Dioxide,Acrylic_Water,Titanium Dioxide_Water
Epoxy,54.47,SupplierF_Resin,Organic Blue,25.49,SupplierK_Pigment,Xylene,16.9,SupplierQ_Solvent,56.83,1171.42,34.1,1,0.0,None,0.0,None,3.14,SupplierW_Add,83.1,0.3067,0.31,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Epoxy,48.78,SupplierE_Resin,Organic Blue,28.72,SupplierL_Pigment,Xylene,18.13,SupplierP_Solvent,45.56,,58.69,0,4.37,SupplierR_Add,0.0,None,0.0,None,81.87,0.3508,0.37,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Alkyd,55.72,SupplierC_Resin,Iron Oxide Red,25.04,SupplierJ_Pigment,Water,11.0,SupplierM_Solvent,26.31,694.81,48.46,0,4.27,SupplierS_Add,0.0,None,3.97,SupplierW_Add,89.0,0.2813,0.2,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Epoxy,49.71,SupplierE_Resin,Titanium Dioxide,27.62,SupplierH_Pigment,Xylene,19.44,SupplierQ_Solvent,29.9,1531.89,63.49,1,0.0,None,3.23,SupplierU_Add,0.0,None,80.56,0.3429,0.39,Epoxy_Titanium Dioxide,Epoxy_Xylene,Titanium Dioxide_Xylene
Epoxy,52.52,SupplierF_Resin,Titanium Dioxide,24.93,SupplierG_Pigment,Water,20.91,SupplierM_Solvent,22.02,1537.04,80.65,0,1.64,SupplierR_Add,,None,0.0,None,79.09,,0.4,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Acrylic,53.06,SupplierA_Resin,Organic Blue,27.1,SupplierK_Pigment,Xylene,12.98,SupplierQ_Solvent,52.35,1581.93,37.53,0,0.0,None,3.53,SupplierU_Add,3.33,SupplierV_Add,87.02,0.3114,0.24,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Acrylic,43.41,SupplierB_Resin,Organic Blue,29.55,SupplierL_Pigment,Water,22.73,SupplierM_Solvent,41.62,427.73,18.97,0,0.0,None,0.0,None,4.31,SupplierW_Add,77.27,0.3824,0.52,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Acrylic,52.28,SupplierB_Resin,Organic Blue,33.17,SupplierK_Pigment,Xylene,11.22,SupplierP_Solvent,28.63,2081.5,40.21,0,0.0,None,3.33,SupplierT_Add,0.0,None,,0.3736,0.21,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Alkyd,45.33,SupplierD_Resin,Titanium Dioxide,31.8,SupplierG_Pigment,Water,20.44,SupplierM_Solvent,2.24,771.76,88.82,0,0.0,None,,SupplierT_Add,0.0,None,79.56,0.3997,0.45,Alkyd_Titanium Dioxide,Alkyd_Water,Titanium Dioxide_Water
Acrylic,50.35,SupplierA_Resin,Organic Blue,26.81,SupplierK_Pigment,Mineral Spirits,16.52,SupplierO_Solvent,34.64,541.89,58.91,0,2.31,SupplierR_Add,0.0,None,4.01,SupplierW_Add,83.48,0.3212,0.33,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,40.79,SupplierE_Resin,Titanium Dioxide,32.28,SupplierH_Pigment,Water,23.28,SupplierM_Solvent,25.63,1609.12,66.36,1,0.0,None,1.64,SupplierT_Add,2.01,SupplierW_Add,76.72,0.4208,0.57,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,46.94,SupplierE_Resin,Organic Blue,32.87,SupplierK_Pigment,Water,14.23,SupplierM_Solvent,43.01,2015.56,47.11,0,0.0,None,,SupplierU_Add,1.35,SupplierW_Add,85.77,0.3832,0.3,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Alkyd,51.3,SupplierC_Resin,Organic Blue,25.59,SupplierL_Pigment,Mineral Spirits,,SupplierO_Solvent,26.17,1805.98,23.98,0,0.0,None,3.65,SupplierT_Add,0.0,None,80.54,0.3177,0.38,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,51.21,SupplierB_Resin,Organic Blue,29.19,SupplierK_Pigment,Xylene,13.37,SupplierQ_Solvent,25.03,1223.09,44.7,0,4.71,SupplierS_Add,0.0,None,1.52,SupplierV_Add,86.63,0.337,0.26,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,52.97,SupplierE_Resin,Titanium Dioxide,24.58,SupplierG_Pigment,Mineral Spirits,19.33,SupplierN_Solvent,41.34,2255.92,74.17,0,0.0,None,,SupplierU_Add,0.0,None,80.67,0.3047,,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,47.89,SupplierC_Resin,Organic Blue,35.53,SupplierK_Pigment,Mineral Spirits,15.89,SupplierO_Solvent,33.95,1161.71,36.32,1,0.0,None,0.0,None,0.69,SupplierW_Add,84.11,0.4224,0.33,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,41.1,SupplierB_Resin,Titanium Dioxide,,SupplierH_Pigment,Mineral Spirits,24.08,SupplierN_Solvent,20.94,678.62,70.85,0,0.0,None,0.0,None,4.47,SupplierV_Add,75.92,0.3998,0.59,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,57.24,SupplierD_Resin,Iron Oxide Red,24.39,SupplierI_Pigment,Water,17.56,SupplierM_Solvent,40.92,464.9,40.41,1,0.81,SupplierS_Add,0.0,None,,None,82.44,,0.31,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Epoxy,53.13,SupplierF_Resin,Iron Oxide Red,26.53,SupplierJ_Pigment,Xylene,14.57,SupplierQ_Solvent,42.22,1402.66,48.31,0,4.73,SupplierS_Add,1.04,SupplierU_Add,0.0,None,85.43,0.3105,0.27,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Acrylic,51.58,SupplierB_Resin,Iron Oxide Red,24.54,SupplierJ_Pigment,Xylene,21.47,SupplierQ_Solvent,39.46,1148.58,36.76,0,0.68,SupplierS_Add,1.73,SupplierT_Add,0.0,None,78.53,0.3125,0.42,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Alkyd,45.09,SupplierD_Resin,Organic Blue,28.22,SupplierK_Pigment,Mineral Spirits,18.76,SupplierO_Solvent,23.47,1240.53,42.57,0,0.0,None,3.34,SupplierT_Add,4.59,SupplierV_Add,81.24,0.3474,0.42,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,49.97,SupplierC_Resin,Iron Oxide Red,23.98,SupplierI_Pigment,Mineral Spirits,19.79,SupplierO_Solvent,23.25,1315.94,47.71,0,0.0,None,2.59,SupplierT_Add,3.67,SupplierW_Add,80.21,0.299,0.4,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,43.83,SupplierA_Resin,Organic Blue,32.63,SupplierL_Pigment,Water,21.13,SupplierM_Solvent,38.14,776.2,37.17,1,2.41,SupplierS_Add,0.0,None,0.0,None,78.87,0.4137,0.48,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Alkyd,54.03,SupplierC_Resin,Organic Blue,23.81,SupplierL_Pigment,Xylene,17.46,SupplierP_Solvent,32.12,1087.63,37.82,0,0.0,None,4.7,SupplierT_Add,0.0,None,82.54,0.2885,0.32,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Epoxy,47.74,SupplierE_Resin,Iron Oxide Red,27.84,SupplierI_Pigment,Xylene,21.12,SupplierP_Solvent,44.97,1517.72,54.57,0,0.61,SupplierR_Add,2.69,SupplierT_Add,0.0,None,78.88,,0.44,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Alkyd,43.5,SupplierC_Resin,Iron Oxide Red,32.96,SupplierI_Pigment,Mineral Spirits,20.03,SupplierN_Solvent,27.3,261.11,64.11,0,0.0,None,0.0,None,3.51,SupplierW_Add,79.97,0.4122,0.46,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,49.08,SupplierE_Resin,Iron Oxide Red,34.33,SupplierI_Pigment,Mineral Spirits,14.2,SupplierN_Solvent,36.77,1270.98,63.18,0,0.0,None,0.0,None,2.39,SupplierW_Add,85.8,0.4001,0.29,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,55.11,SupplierF_Resin,Iron Oxide Red,27.19,SupplierI_Pigment,Water,13.69,SupplierM_Solvent,44.93,1618.9,55.65,0,2.26,SupplierS_Add,1.75,SupplierU_Add,0.0,None,86.31,0.315,0.25,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Epoxy,50.76,SupplierF_Resin,Organic Blue,,SupplierL_Pigment,Mineral Spirits,13.75,SupplierO_Solvent,,1461.35,64.38,0,1.62,SupplierR_Add,0.0,None,0.0,None,86.25,0.3927,0.27,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,50.2,SupplierD_Resin,Iron Oxide Red,31.98,SupplierI_Pigment,Water,12.9,SupplierM_Solvent,33.58,1374.37,60.38,0,0.0,None,4.92,SupplierU_Add,0.0,None,,0.3672,0.26,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Alkyd,48.24,SupplierC_Resin,Organic Blue,26.27,SupplierL_Pigment,Water,17.85,SupplierM_Solvent,28.69,,,0,3.74,SupplierS_Add,3.9,SupplierU_Add,0.0,None,82.15,0.3198,,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Acrylic,43.12,SupplierA_Resin,Organic Blue,33.72,SupplierL_Pigment,Mineral Spirits,19.1,SupplierO_Solvent,36.2,1233.23,33.63,0,0.0,None,0.0,None,4.06,SupplierV_Add,80.9,0.4168,0.44,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,50.75,SupplierF_Resin,Organic Blue,29.99,SupplierL_Pigment,Water,16.52,SupplierM_Solvent,,1271.0,31.65,0,0.0,None,0.0,None,2.74,SupplierV_Add,83.48,0.3592,0.33,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Epoxy,45.54,SupplierF_Resin,Iron Oxide Red,34.33,SupplierI_Pigment,Xylene,16.03,SupplierQ_Solvent,29.33,2120.33,,0,0.0,None,4.1,SupplierU_Add,0.0,None,83.97,0.4088,0.35,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Epoxy,47.79,SupplierE_Resin,Titanium Dioxide,36.82,SupplierG_Pigment,Mineral Spirits,12.06,SupplierN_Solvent,39.96,2241.55,97.52,1,0.0,None,1.64,SupplierU_Add,1.68,SupplierW_Add,87.93,0.4187,0.25,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,49.13,SupplierF_Resin,Organic Blue,23.29,SupplierK_Pigment,Water,18.16,SupplierM_Solvent,42.6,1008.94,,0,4.52,SupplierR_Add,0.0,None,,SupplierV_Add,81.83,,0.37,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Epoxy,51.95,SupplierE_Resin,Titanium Dioxide,29.01,SupplierG_Pigment,Xylene,14.78,SupplierQ_Solvent,37.26,2460.51,78.07,1,0.0,None,4.26,SupplierU_Add,0.0,None,85.22,0.3404,0.28,Epoxy_Titanium Dioxide,Epoxy_Xylene,Titanium Dioxide_Xylene
Epoxy,47.82,SupplierF_Resin,Titanium Dioxide,29.99,SupplierG_Pigment,Mineral Spirits,20.9,SupplierN_Solvent,35.04,987.34,74.81,0,1.29,SupplierR_Add,0.0,None,0.0,None,79.1,0.3791,0.44,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,54.75,SupplierE_Resin,Iron Oxide Red,23.33,SupplierJ_Pigment,Water,15.46,SupplierM_Solvent,48.72,1776.41,42.02,0,4.59,SupplierS_Add,1.87,SupplierU_Add,0.0,None,84.54,0.276,0.28,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Alkyd,46.95,SupplierD_Resin,Iron Oxide Red,26.52,SupplierI_Pigment,Mineral Spirits,22.92,SupplierO_Solvent,17.77,961.73,51.14,0,0.0,None,0.98,SupplierU_Add,2.62,SupplierW_Add,77.07,0.3441,0.49,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,44.64,SupplierA_Resin,Organic Blue,,SupplierL_Pigment,Water,24.75,SupplierM_Solvent,29.45,,,0,3.15,SupplierR_Add,,None,0.5,SupplierW_Add,,0.3583,0.55,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Acrylic,47.92,SupplierA_Resin,Titanium Dioxide,35.73,SupplierG_Pigment,Water,14.5,SupplierM_Solvent,23.41,1321.05,83.33,0,0.0,None,1.85,SupplierU_Add,0.0,None,85.5,0.4179,0.3,Acrylic_Titanium Dioxide,Acrylic_Water,Titanium Dioxide_Water
Acrylic,43.78,SupplierB_Resin,Titanium Dioxide,29.03,SupplierH_Pigment,Water,22.47,SupplierM_Solvent,34.01,754.25,71.31,0,3.91,SupplierS_Add,0.0,None,0.81,SupplierW_Add,77.53,0.3744,0.51,Acrylic_Titanium Dioxide,Acrylic_Water,Titanium Dioxide_Water
Epoxy,54.07,SupplierF_Resin,Titanium Dioxide,26.97,SupplierH_Pigment,Water,15.07,SupplierM_Solvent,50.26,1792.92,75.63,0,0.0,None,2.99,SupplierU_Add,0.9,SupplierV_Add,84.93,0.3176,0.28,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Alkyd,47.2,SupplierC_Resin,Titanium Dioxide,35.05,SupplierH_Pigment,Xylene,14.23,SupplierP_Solvent,11.34,561.89,87.93,0,0.61,SupplierS_Add,0.0,None,2.92,SupplierV_Add,85.78,0.4086,,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Alkyd,44.33,SupplierC_Resin,Iron Oxide Red,29.52,SupplierI_Pigment,Xylene,20.66,SupplierQ_Solvent,10.31,979.13,54.7,0,3.96,SupplierR_Add,,None,1.53,SupplierV_Add,79.34,0.3721,0.47,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Alkyd,50.48,SupplierD_Resin,Organic Blue,29.33,SupplierK_Pigment,Mineral Spirits,18.21,SupplierN_Solvent,23.13,880.44,33.51,1,0.0,None,1.98,SupplierU_Add,0.0,None,81.79,,0.36,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,54.56,SupplierE_Resin,Iron Oxide Red,25.79,SupplierI_Pigment,Xylene,13.26,SupplierP_Solvent,47.77,1497.86,,0,4.83,SupplierR_Add,0.0,None,1.56,SupplierW_Add,86.74,0.2973,0.24,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Acrylic,48.55,SupplierB_Resin,Titanium Dioxide,30.48,SupplierG_Pigment,Mineral Spirits,15.63,SupplierO_Solvent,26.87,1325.7,85.03,0,2.75,SupplierS_Add,0.0,None,2.59,SupplierV_Add,84.37,0.3613,0.32,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,47.92,SupplierC_Resin,Titanium Dioxide,25.4,SupplierH_Pigment,Mineral Spirits,24.09,SupplierN_Solvent,,100.0,71.06,1,1.71,SupplierR_Add,0.0,None,0.88,SupplierV_Add,75.91,0.3346,0.5,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,49.35,SupplierC_Resin,Organic Blue,36.05,SupplierL_Pigment,Water,12.96,SupplierM_Solvent,14.26,767.98,,0,0.0,None,0.0,None,1.64,SupplierV_Add,87.04,0.4142,,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Acrylic,56.2,SupplierB_Resin,Iron Oxide Red,24.53,SupplierJ_Pigment,Water,18.14,SupplierM_Solvent,25.89,734.29,45.54,1,0.0,None,0.0,None,1.13,SupplierW_Add,81.86,0.2997,0.32,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Acrylic,,SupplierA_Resin,Titanium Dioxide,26.58,SupplierH_Pigment,Mineral Spirits,19.41,SupplierO_Solvent,41.17,1185.84,68.47,0,0.0,None,0.0,None,3.89,SupplierV_Add,,0.3298,0.39,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,54.47,SupplierB_Resin,Titanium Dioxide,25.55,SupplierG_Pigment,Mineral Spirits,18.64,SupplierO_Solvent,32.7,1061.04,68.38,0,0.0,None,,None,1.34,SupplierW_Add,81.36,0.314,0.34,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,44.17,SupplierE_Resin,Titanium Dioxide,31.33,SupplierH_Pigment,Water,21.39,SupplierM_Solvent,37.59,1298.91,89.57,0,0.0,None,3.11,SupplierU_Add,0.0,None,78.61,,0.48,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Acrylic,51.0,SupplierA_Resin,Iron Oxide Red,24.91,SupplierI_Pigment,Mineral Spirits,20.06,SupplierO_Solvent,34.85,2163.37,44.12,0,0.0,None,2.72,SupplierU_Add,1.31,SupplierV_Add,,0.3116,0.39,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,53.23,SupplierB_Resin,Organic Blue,28.7,SupplierK_Pigment,Xylene,16.18,SupplierP_Solvent,29.9,866.96,29.78,1,0.0,None,0.0,None,1.89,SupplierW_Add,83.82,0.3424,0.3,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,49.94,SupplierF_Resin,Titanium Dioxide,20.67,SupplierG_Pigment,Water,23.53,SupplierM_Solvent,34.94,1586.05,,1,2.03,SupplierS_Add,3.83,SupplierU_Add,0.0,None,,0.2703,0.47,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,50.26,SupplierE_Resin,Iron Oxide Red,25.56,SupplierJ_Pigment,Water,20.08,SupplierM_Solvent,39.75,1299.59,50.74,0,2.16,SupplierR_Add,1.94,SupplierU_Add,0.0,None,79.92,0.3198,0.4,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Acrylic,52.91,SupplierA_Resin,Organic Blue,28.63,SupplierL_Pigment,Water,15.76,SupplierM_Solvent,48.05,1840.95,33.56,0,0.0,None,2.7,SupplierT_Add,0.0,None,84.24,0.3399,0.3,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Acrylic,45.0,SupplierA_Resin,Iron Oxide Red,29.03,SupplierI_Pigment,Mineral Spirits,21.52,SupplierN_Solvent,27.93,1034.07,51.62,0,4.45,SupplierR_Add,0.0,None,0.0,None,78.48,0.3699,0.48,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,52.7,SupplierD_Resin,Titanium Dioxide,25.07,SupplierH_Pigment,Xylene,13.71,SupplierQ_Solvent,22.38,1796.7,66.58,0,0.0,None,4.0,SupplierT_Add,4.51,SupplierV_Add,86.28,0.2906,0.26,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Epoxy,43.79,SupplierF_Resin,Organic Blue,32.85,SupplierL_Pigment,Mineral Spirits,,SupplierO_Solvent,44.89,1127.36,45.85,0,2.51,SupplierS_Add,0.0,None,4.77,SupplierV_Add,83.92,0.3914,0.37,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,52.55,SupplierD_Resin,Titanium Dioxide,26.37,SupplierG_Pigment,Water,17.72,SupplierM_Solvent,17.92,1365.09,66.04,0,3.36,SupplierS_Add,0.0,None,0.0,None,82.28,0.3205,0.34,Alkyd_Titanium Dioxide,Alkyd_Water,Titanium Dioxide_Water
Alkyd,48.14,SupplierC_Resin,Organic Blue,25.25,SupplierK_Pigment,Xylene,23.49,SupplierP_Solvent,27.79,100.0,28.25,0,3.12,SupplierS_Add,0.0,None,0.0,None,76.51,0.33,0.49,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Epoxy,50.98,SupplierE_Resin,Titanium Dioxide,31.96,SupplierH_Pigment,Water,14.63,SupplierM_Solvent,44.45,1909.35,80.56,0,0.0,None,,SupplierT_Add,0.0,None,85.37,0.3744,0.29,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,50.71,SupplierE_Resin,Titanium Dioxide,22.17,SupplierG_Pigment,Water,22.86,SupplierM_Solvent,30.5,1125.86,69.0,0,1.05,SupplierR_Add,0.0,None,3.22,SupplierW_Add,77.15,0.2874,0.45,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Alkyd,55.41,SupplierD_Resin,Titanium Dioxide,24.66,SupplierH_Pigment,Mineral Spirits,16.48,SupplierO_Solvent,36.03,1515.8,55.32,0,0.0,None,3.45,SupplierT_Add,0.0,None,83.52,0.2953,0.3,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,44.07,SupplierA_Resin,Iron Oxide Red,35.22,SupplierI_Pigment,Mineral Spirits,16.6,SupplierN_Solvent,28.57,1268.68,68.37,0,0.0,None,0.56,SupplierT_Add,3.55,SupplierW_Add,83.4,0.4223,0.38,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,56.18,SupplierF_Resin,Organic Blue,24.18,SupplierK_Pigment,Water,15.07,SupplierM_Solvent,43.52,2152.83,34.98,0,0.0,None,4.57,SupplierT_Add,0.0,None,84.93,0.2847,0.27,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Alkyd,44.91,SupplierD_Resin,Titanium Dioxide,31.01,SupplierG_Pigment,Mineral Spirits,21.88,SupplierO_Solvent,12.35,808.22,82.99,0,2.2,SupplierR_Add,0.0,None,0.0,None,78.12,0.397,0.49,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,39.96,SupplierE_Resin,Titanium Dioxide,34.13,SupplierH_Pigment,Water,16.3,SupplierM_Solvent,45.71,1943.58,78.94,0,0.0,None,4.76,SupplierT_Add,4.85,SupplierW_Add,83.7,0.4078,0.41,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Acrylic,,SupplierB_Resin,Iron Oxide Red,25.28,SupplierI_Pigment,Mineral Spirits,13.89,SupplierN_Solvent,,1162.4,53.92,0,1.16,SupplierR_Add,0.0,None,0.0,None,,0.2936,,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,47.89,SupplierF_Resin,Organic Blue,33.92,SupplierL_Pigment,Mineral Spirits,15.23,SupplierO_Solvent,35.87,1679.23,39.22,0,0.0,None,1.75,SupplierU_Add,1.21,SupplierV_Add,84.77,0.4001,0.32,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,42.35,SupplierC_Resin,Organic Blue,27.99,SupplierK_Pigment,Xylene,,SupplierQ_Solvent,12.93,1087.53,61.86,0,4.29,SupplierR_Add,3.38,SupplierU_Add,0.0,None,78.01,0.3588,0.52,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Alkyd,47.8,SupplierC_Resin,Titanium Dioxide,23.55,SupplierG_Pigment,Xylene,19.09,SupplierP_Solvent,11.02,,65.63,0,4.8,SupplierS_Add,0.0,None,4.75,SupplierW_Add,80.9,0.2911,0.4,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Alkyd,50.44,SupplierD_Resin,Organic Blue,,SupplierL_Pigment,Xylene,15.51,SupplierQ_Solvent,31.76,918.76,49.33,0,4.0,SupplierR_Add,0.0,None,0.0,None,84.49,0.3557,0.31,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Epoxy,48.72,SupplierF_Resin,Iron Oxide Red,25.68,SupplierI_Pigment,Water,22.03,SupplierM_Solvent,36.96,851.01,61.12,0,3.57,SupplierS_Add,0.0,None,0.0,None,77.97,0.3294,,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Alkyd,44.18,SupplierC_Resin,Iron Oxide Red,27.54,SupplierI_Pigment,Water,25.16,SupplierM_Solvent,18.5,1108.92,52.4,0,1.51,SupplierR_Add,1.61,SupplierU_Add,0.0,None,74.84,0.368,0.57,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Acrylic,52.31,SupplierB_Resin,Organic Blue,28.16,SupplierK_Pigment,Mineral Spirits,17.53,SupplierO_Solvent,28.13,556.22,33.78,0,2.0,SupplierR_Add,0.0,None,0.0,None,,0.3415,0.34,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,,SupplierA_Resin,Organic Blue,28.55,SupplierL_Pigment,Xylene,21.91,SupplierP_Solvent,43.98,1634.66,53.15,0,3.63,SupplierR_Add,3.31,SupplierT_Add,0.0,None,78.09,0.3656,0.51,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,49.51,SupplierF_Resin,Titanium Dioxide,29.68,SupplierG_Pigment,Mineral Spirits,17.32,SupplierN_Solvent,39.17,1438.2,70.19,0,0.0,None,0.0,None,3.49,SupplierV_Add,82.68,0.359,0.35,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,40.21,SupplierB_Resin,Iron Oxide Red,33.04,SupplierJ_Pigment,Water,,SupplierM_Solvent,9.56,1286.21,63.5,0,0.0,None,3.08,SupplierT_Add,0.0,None,76.33,0.4329,,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Alkyd,51.37,SupplierC_Resin,Iron Oxide Red,,SupplierJ_Pigment,Xylene,19.8,SupplierQ_Solvent,28.06,1145.33,51.38,0,,None,1.28,SupplierT_Add,2.15,SupplierW_Add,80.21,0.3168,0.39,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Alkyd,54.89,SupplierC_Resin,Organic Blue,23.39,SupplierL_Pigment,Xylene,17.67,SupplierQ_Solvent,25.31,508.57,29.65,0,4.05,SupplierR_Add,0.0,None,0.0,None,82.33,0.2841,0.32,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
